#gene,Dmel,Dsec,Dsim
128up,FBgn0010339,FBgn0176208,FBgn0182597
Acp53C14c,FBgn0053530,FBgn0174918,FBgn0069520
Acp53Ea,FBgn0015584,FBgn0064377,FBgn0043401
Acp62F,FBgn0020509,FBgn0069552,FBgn0043400
Acp63F,FBgn0015585,FBgn0168965,FBgn0043399
Acp65Aa,FBgn0020765,FBgn0168792,FBgn0184866
Acp70A,FBgn0003034,FBgn0012779,FBgn0021129
Acp76A,FBgn0015586,FBgn0168076,FBgn0043398
Acp95EF,FBgn0002863,FBgn0181428,FBgn0250854
Acph-1,FBgn0000032,FBgn0167136,FBgn0189058
Acsl,FBgn0263120,FBgn0175936,FBgn0182359
Act42A,FBgn0000043,FBgn0171407,FBgn0182114
Act5C,FBgn0000042,FBgn0167384,FBgn0188352
Actbeta,FBgn0024913,FBgn0167941,FBgn0189392
Actn3,FBgn0015008,FBgn0170318,FBgn0191741
Acyp,FBgn0025115,FBgn0170293,FBgn0069519
Ada,FBgn0037661,FBgn0178649,FBgn0190117
Ada2b,FBgn0037555,FBgn0181217,FBgn0192346
Adam,FBgn0027619,FBgn0166065,FBgn0182469
Adf1,FBgn0000054,FBgn0175766,FBgn0182186
Adgf-A,FBgn0036752,FBgn0179175,FBgn0184113
Adgf-B,FBgn0036751,FBgn0179176,FBgn0184114
Adgf-C,FBgn0038173,FBgn0178989,FBgn0190435
Adgf-D,FBgn0038172,FBgn0180768,FBgn0191950
Adgf-E,FBgn0033952,FBgn0175079,FBgn0196952
Adh,FBgn0000055,FBgn0012780,FBgn0012824
Adhr,FBgn0000056,FBgn0012781,FBgn0012825
Adk1,FBgn0022709,FBgn0179535,FBgn0184468
Adk2,FBgn0022708,FBgn0173196,FBgn0183564
Adk3,FBgn0042094,FBgn0180991,FBgn0192156
AdoR,FBgn0039747,FBgn0167118,FBgn0188872
Ady43A,FBgn0026602,FBgn0175691,FBgn0182041
Aef1,FBgn0005694,FBgn0177237,FBgn0186631
Afti,FBgn0038223,FBgn0180715,FBgn0191900
Ag5r2,FBgn0020508,FBgn0166981,FBgn0195081
Ahcy13,FBgn0014455,FBgn0174464,FBgn0188773
Ahcy89E,FBgn0015011,FBgn0170317,FBgn0191740
Ak6,FBgn0033754,FBgn0175234,FBgn0197110
Akap200,FBgn0027932,FBgn0171853,FBgn0194919
Akh,FBgn0004552,FBgn0169548,FBgn0185514
Akt1,FBgn0010379,FBgn0179148,FBgn0190581
AlCR2,FBgn0036789,FBgn0169858,FBgn0184073
Ald,FBgn0000064,FBgn0165140,FBgn0189683
Aldh,FBgn0012036,FBgn0172349,FBgn0194978
Aldh-III,FBgn0010548,FBgn0175672,FBgn0182027
Alg10,FBgn0052076,FBgn0180117,FBgn0185976
Alh,FBgn0261238,FBgn0165456,FBgn0191002
AlkB,FBgn0065035,FBgn0177387,FBgn0196000
Alr,FBgn0031068,FBgn0177861,FBgn0189020
AlstR,FBgn0028961,FBgn0167236,FBgn0188239
Ama,FBgn0000071,FBgn0165859,FBgn0046919
Amph,FBgn0027356,FBgn0176288,FBgn0182666
Amun,FBgn0030328,FBgn0167983,FBgn0187625
Amyrel,FBgn0020506,FBgn0025060,FBgn0021128
Ance-3,FBgn0032536,FBgn0170304,FBgn0195304
Ance-4,FBgn0033366,FBgn0175521,FBgn0181887
Ance-5,FBgn0035076,FBgn0166725,FBgn0196226
Andorra,FBgn0030898,FBgn0177702,FBgn0195995
AnnIX,FBgn0000083,FBgn0169981,FBgn0190894
AnnX,FBgn0000084,FBgn0177557,FBgn0194323
Antp,FBgn0260642,FBgn0165469,FBgn0191011
Anxb11,FBgn0030749,FBgn0168332,FBgn0187411
Aos1,FBgn0029512,FBgn0180863,FBgn0192033
Apc10,FBgn0034231,FBgn0174860,FBgn0196763
Apc2,FBgn0026598,FBgn0181421,FBgn0192527
Apc7,FBgn0029879,FBgn0167439,FBgn0188395
Apf,FBgn0051713,FBgn0167044,FBgn0183715
Aph-4,FBgn0016123,FBgn0167851,FBgn0083464
Appl,FBgn0000108,FBgn0173976,FBgn0188117
Aprt,FBgn0000109,FBgn0169083,FBgn0185140
Aps,FBgn0036111,FBgn0179656,FBgn0189134
Arc42,FBgn0038742,FBgn0181719,FBgn0190821
Arf102F,FBgn0013749,FBgn0167957,FBgn0191964
Arf51F,FBgn0013750,FBgn0176483,FBgn0182864
Arf72A,FBgn0000115,FBgn0180428,FBgn0186266
Arf79F,FBgn0010348,FBgn0176944,FBgn0183788
Arf84F,FBgn0004908,FBgn0178591,FBgn0190059
ArfGAP3,FBgn0037182,FBgn0176955,FBgn0183798
Ark,FBgn0263864,FBgn0176626,FBgn0182991
Arp1,FBgn0011745,FBgn0178922,FBgn0190368
Arp10,FBgn0031050,FBgn0177592,FBgn0195789
Arp2,FBgn0011742,FBgn0168322,FBgn0187404
Arp3,FBgn0262716,FBgn0179834,FBgn0189141
Arp5,FBgn0038576,FBgn0170202,FBgn0190712
Arp53D,FBgn0011743,FBgn0176599,FBgn0182967
Arp6,FBgn0011741,FBgn0177402,FBgn0187442
Arp8,FBgn0030877,FBgn0177717,FBgn0187321
Arpc1,FBgn0001961,FBgn0170013,FBgn0193452
Arpc2,FBgn0032859,FBgn0178213,FBgn0195603
Arpc3A,FBgn0038369,FBgn0179128,FBgn0190559
Arpc3B,FBgn0065032,FBgn0168272,FBgn0187364
Arpc4,FBgn0031781,FBgn0173512,FBgn0194774
Arpc5,FBgn0031437,FBgn0173254,FBgn0194551
Arr1,FBgn0000120,FBgn0172171,FBgn0195482
Arr2,FBgn0000121,FBgn0179784,FBgn0184693
Ars2,FBgn0033062,FBgn0171397,FBgn0182107
Art1,FBgn0037834,FBgn0181003,FBgn0192168
Art2,FBgn0031592,FBgn0173007,FBgn0194114
Art3,FBgn0038306,FBgn0180651,FBgn0191845
Art4,FBgn0037770,FBgn0181055,FBgn0192213
Art6,FBgn0038189,FBgn0180753,FBgn0191938
Art7,FBgn0034817,FBgn0170504,FBgn0196396
Art8,FBgn0032329,FBgn0166148,FBgn0193612
Art9,FBgn0038188,FBgn0180754,FBgn0191939
Asator,FBgn0039908,FBgn0181632,FBgn0195720
Asph,FBgn0034075,FBgn0176539,FBgn0182914
Ast,FBgn0015591,FBgn0178334,FBgn0189808
Ast-C,FBgn0032336,FBgn0166119,FBgn0193607
Ast-CC,FBgn0032337,FBgn0166116,FBgn0193606
Asx,FBgn0261823,FBgn0176432,FBgn0182818
Atac2,FBgn0032691,FBgn0171993,FBgn0193246
Atac3,FBgn0052343,FBgn0169208,FBgn0196997
Ate1,FBgn0025720,FBgn0082780,FBgn0082760
Atet,FBgn0020762,FBgn0173370,FBgn0194663
Atf3,FBgn0028550,FBgn0173891,FBgn0188046
Atf6,FBgn0033010,FBgn0181588,FBgn0189028
Atg1,FBgn0260945,FBgn0179492,FBgn0184423
Atg12,FBgn0036255,FBgn0180189,FBgn0186045
Atg13,FBgn0261108,FBgn0178596,FBgn0190063
Atg18,FBgn0035850,FBgn0179886,FBgn0185753
Atg4,FBgn0031298,FBgn0171701,FBgn0194457
Atg5,FBgn0029943,FBgn0172382,FBgn0083471
Atg6,FBgn0264325,FBgn0178383,FBgn0189857
Atg7,FBgn0034366,FBgn0174780,FBgn0196676
Atg8a,FBgn0052672,FBgn0166233,FBgn0187657
Atg8b,FBgn0038539,FBgn0170266,FBgn0191695
Atg9,FBgn0034110,FBgn0083480,FBgn0083470
Atox1,FBgn0052446,FBgn0177265,FBgn0186656
Atpalpha,FBgn0002921,FBgn0169975,FBgn0190889
AttC,FBgn0041579,FBgn0176346,FBgn0046916
AttD,FBgn0038530,FBgn0170171,FBgn0190681
Atu,FBgn0019637,FBgn0165766,FBgn0191288
Atx-1,FBgn0029907,FBgn0167472,FBgn0188404
Atx2,FBgn0041188,FBgn0179097,FBgn0190531
Aut1,FBgn0036813,FBgn0169912,FBgn0186442
Aven,FBgn0030410,FBgn0166483,FBgn0187571
Awh,FBgn0013751,FBgn0169513,FBgn0185484
Axn,FBgn0026597,FBgn0167788,FBgn0068704
Axs,FBgn0000152,FBgn0168308,FBgn0187395
Axud1,FBgn0261647,FBgn0173240,FBgn0194538
B-H1,FBgn0011758,FBgn0168440,FBgn0187330
B-H2,FBgn0004854,FBgn0168437,FBgn0187328
B4,FBgn0023407,FBgn0180323,FBgn0193468
BBS1,FBgn0035741,FBgn0169740,FBgn0185688
BBS4,FBgn0033578,FBgn0176134,FBgn0182532
BBS8,FBgn0031255,FBgn0171655,FBgn0194416
BCL7-like,FBgn0026149,FBgn0166310,FBgn0068703
BEAF-32,FBgn0015602,FBgn0176450,FBgn0182833
BG4,FBgn0038928,FBgn0181249,FBgn0192375
BHD,FBgn0261111,FBgn0169747,FBgn0185696
BM-40-SPARC,FBgn0026562,FBgn0165112,FBgn0189657
BRWD3,FBgn0011785,FBgn0181440,FBgn0192543
Baldspot,FBgn0260960,FBgn0179242,FBgn0184182
Bap170,FBgn0042085,FBgn0175761,FBgn0182182
Bap55,FBgn0025716,FBgn0174870,FBgn0196774
Bap60,FBgn0025463,FBgn0166453,FBgn0187553
Bem46,FBgn0025109,FBgn0173291,FBgn0183741
Best1,FBgn0040238,FBgn0181035,FBgn0192195
Best2,FBgn0035696,FBgn0168776,FBgn0184853
Best3,FBgn0036492,FBgn0179357,FBgn0184293
Best4,FBgn0036491,FBgn0180377,FBgn0186216
Bet1,FBgn0260857,FBgn0169935,FBgn0186465
Bet3,FBgn0260859,FBgn0179734,FBgn0184648
Bet5,FBgn0260860,FBgn0167802,FBgn0025411
Bgb,FBgn0013753,FBgn0169354,FBgn0189171
BicC,FBgn0000182,FBgn0173557,FBgn0195395
BicD,FBgn0000183,FBgn0172037,FBgn0193286
Bili,FBgn0039282,FBgn0172714,FBgn0192629
Bin1,FBgn0024491,FBgn0180584,FBgn0191780
Bj1,FBgn0002638,FBgn0168815,FBgn0184888
Bka,FBgn0010520,FBgn0172641,FBgn0195011
Blm,FBgn0002906,FBgn0180932,FBgn0192106
Bmcp,FBgn0036199,FBgn0180153,FBgn0186009
BoYb,FBgn0037205,FBgn0177351,FBgn0186733
Br140,FBgn0033155,FBgn0175687,FBgn0186978
Brca2,FBgn0050169,FBgn0166811,FBgn0183607
Brd,FBgn0000216,FBgn0180348,FBgn0186193
Brd8,FBgn0039654,FBgn0167714,FBgn0084053
Brf,FBgn0038499,FBgn0170289,FBgn0191715
Bro,FBgn0013755,FBgn0169356,FBgn0084471
Bruce,FBgn0037808,FBgn0181028,FBgn0192189
Bsg,FBgn0261822,FBgn0171645,FBgn0194882
Bsg25A,FBgn0000227,FBgn0172986,FBgn0194094
Bsg25D,FBgn0000228,FBgn0172937,FBgn0194056
Btd,FBgn0029848,FBgn0167525,FBgn0187833
Bteb2,FBgn0025679,FBgn0167603,FBgn0187902
Btk29A,FBgn0003502,FBgn0168031,FBgn0193828
Bub1,FBgn0031696,FBgn0173451,FBgn0194719
Bub3,FBgn0025457,FBgn0167169,FBgn0189246
BubR1,FBgn0263855,FBgn0171409,FBgn0182117
Buffy,FBgn0040491,FBgn0176181,FBgn0182572
Bx,FBgn0000242,FBgn0177774,FBgn0188956
Bx42,FBgn0004856,FBgn0168611,FBgn0195897
C15,FBgn0004863,FBgn0165377,FBgn0190929
C1GalTA,FBgn0032078,FBgn0167586,FBgn0193781
C3G,FBgn0259228,FBgn0167486,FBgn0187806
C901,FBgn0021742,FBgn0166218,FBgn0187651
CAH1,FBgn0027844,FBgn0170142,FBgn0083469
CAH2,FBgn0027843,FBgn0180192,FBgn0186049
CAHbeta,FBgn0037646,FBgn0178637,FBgn0190104
CAP-D2,FBgn0039680,FBgn0167739,FBgn0192883
CASK,FBgn0013759,FBgn0178558,FBgn0190026
CCHa1,FBgn0038199,FBgn0180747,FBgn0191932
CCHa1r,FBgn0050106,FBgn0174848,FBgn0196749
CCHa2,FBgn0038147,FBgn0180797,FBgn0191973
CCHa2r,FBgn0033058,FBgn0171448,FBgn0182166
CCKLR-17D3,FBgn0030954,FBgn0177655,FBgn0187282
CCS,FBgn0010531,FBgn0175431,FBgn0197280
CD98hc,FBgn0037533,FBgn0165390,FBgn0190943
CDC45L,FBgn0026143,FBgn0173903,FBgn0188054
CDase,FBgn0039774,FBgn0167813,FBgn0192946
CG10000,FBgn0039596,FBgn0167223,FBgn0189565
CG10005,FBgn0037972,FBgn0180909,FBgn0192084
CG10006,FBgn0036461,FBgn0180354,FBgn0186199
CG10011,FBgn0039590,FBgn0171199,FBgn0189570
CG10013,FBgn0038012,FBgn0178877,FBgn0190329
CG10014,FBgn0038000,FBgn0178868,FBgn0190320
CG10019,FBgn0031568,FBgn0173339,FBgn0194639
CG10026,FBgn0032785,FBgn0172260,FBgn0195558
CG10029,FBgn0037498,FBgn0165434,FBgn0190982
CG10031,FBgn0031563,FBgn0173031,FBgn0194129
CG10032,FBgn0037493,FBgn0165893,FBgn0191410
CG10035,FBgn0038028,FBgn0180874,FBgn0192044
CG10038,FBgn0038013,FBgn0180881,FBgn0192051
CG10041,FBgn0038014,FBgn0180880,FBgn0192049
CG10050,FBgn0037492,FBgn0165890,FBgn0191408
CG10051,FBgn0034437,FBgn0176829,FBgn0183197
CG10053,FBgn0037490,FBgn0165889,FBgn0191407
CG10055,FBgn0037482,FBgn0165448,FBgn0190993
CG10062,FBgn0034439,FBgn0176830,FBgn0183198
CG10063,FBgn0035727,FBgn0168732,FBgn0184822
CG10064,FBgn0035724,FBgn0168734,FBgn0184824
CG10068,FBgn0037473,FBgn0165453,FBgn0190998
CG10075,FBgn0035722,FBgn0168738,FBgn0184826
CG10077,FBgn0035720,FBgn0168739,FBgn0184827
CG10082,FBgn0034644,FBgn0170764,FBgn0183350
CG10083,FBgn0036372,FBgn0179449,FBgn0184381
CG10086,FBgn0037517,FBgn0165918,FBgn0191430
CG10089,FBgn0036369,FBgn0179450,FBgn0184382
CG10092,FBgn0037526,FBgn0175945,FBgn0191438
CG10098,FBgn0037472,FBgn0165878,FBgn0191396
CG10104,FBgn0033933,FBgn0176422,FBgn0182811
CG10116,FBgn0036367,FBgn0179451,FBgn0184383
CG10126,FBgn0038088,FBgn0180831,FBgn0192007
CG10131,FBgn0033949,FBgn0176440,FBgn0182826
CG10132,FBgn0032798,FBgn0172267,FBgn0195566
CG10133,FBgn0036366,FBgn0179452,FBgn0184384
CG10137,FBgn0032800,FBgn0172270,FBgn0195567
CG10139,FBgn0033951,FBgn0176443,FBgn0182828
CG10140,FBgn0036363,FBgn0179453,FBgn0184385
CG10144,FBgn0035704,FBgn0168769,FBgn0184846
CG10147,FBgn0035702,FBgn0168770,FBgn0184847
CG10153,FBgn0033962,FBgn0175070,FBgn0196945
CG10154,FBgn0036361,FBgn0179454,FBgn0184386
CG10157,FBgn0039099,FBgn0181365,FBgn0192476
CG10158,FBgn0031871,FBgn0168662,FBgn0193930
CG10163,FBgn0035697,FBgn0168775,FBgn0184851
CG10164,FBgn0039088,FBgn0178423,FBgn0189901
CG10165,FBgn0032801,FBgn0171914,FBgn0193169
CG10166,FBgn0032799,FBgn0171915,FBgn0193170
CG10175,FBgn0039084,FBgn0178427,FBgn0189905
CG10176,FBgn0032682,FBgn0172187,FBgn0195495
CG10184,FBgn0039094,FBgn0178419,FBgn0189895
CG10185,FBgn0038397,FBgn0180592,FBgn0191784
CG10186,FBgn0032797,FBgn0171916,FBgn0193173
CG10189,FBgn0032793,FBgn0171918,FBgn0193176
CG10194,FBgn0032790,FBgn0171919,FBgn0193177
CG10195,FBgn0032787,FBgn0171920,FBgn0193178
CG10200,FBgn0033968,FBgn0176453,FBgn0182835
CG10202,FBgn0033969,FBgn0175064,FBgn0196940
CG10205,FBgn0033970,FBgn0176454,FBgn0182836
CG10208,FBgn0039118,FBgn0178404,FBgn0189880
CG10209,FBgn0033971,FBgn0175059,FBgn0196938
CG1021,FBgn0037443,FBgn0165501,FBgn0191041
CG10211,FBgn0032685,FBgn0172189,FBgn0195496
CG10214,FBgn0039115,FBgn0178406,FBgn0189882
CG10217,FBgn0039113,FBgn0178407,FBgn0189883
CG10219,FBgn0039112,FBgn0178408,FBgn0189884
CG10222,FBgn0036356,FBgn0179460,FBgn0184393
CG10232,FBgn0039108,FBgn0178412,FBgn0189888
CG10237,FBgn0032783,FBgn0171922,FBgn0193181
CG1024,FBgn0027514,FBgn0165502,FBgn0191042
CG10249,FBgn0027596,FBgn0175049,FBgn0196929
CG10252,FBgn0039104,FBgn0178416,FBgn0189892
CG10253,FBgn0033983,FBgn0175048,FBgn0196928
CG10254,FBgn0027512,FBgn0178417,FBgn0189893
CG10257,FBgn0033985,FBgn0176465,FBgn0182848
CG10262,FBgn0032813,FBgn0171908,FBgn0193164
CG10264,FBgn0038394,FBgn0179144,FBgn0190577
CG10268,FBgn0032811,FBgn0171910,FBgn0193166
CG10277,FBgn0037442,FBgn0165840,FBgn0191361
CG10280,FBgn0037395,FBgn0165523,FBgn0191062
CG10283,FBgn0032681,FBgn0171998,FBgn0193251
CG10286,FBgn0037439,FBgn0165837,FBgn0191359
CG10289,FBgn0035688,FBgn0168788,FBgn0184863
CG10298,FBgn0037432,FBgn0165832,FBgn0191354
CG10300,FBgn0039107,FBgn0181377,FBgn0192487
CG10301,FBgn0039106,FBgn0181376,FBgn0192486
CG10306,FBgn0034654,FBgn0170771,FBgn0183357
CG10307,FBgn0034655,FBgn0170772,FBgn0183358
CG10311,FBgn0038420,FBgn0170360,FBgn0191772
CG10317,FBgn0038423,FBgn0170355,FBgn0191768
CG10321,FBgn0034643,FBgn0170763,FBgn0084073
CG10324,FBgn0038454,FBgn0170333,FBgn0191748
CG10332,FBgn0260455,FBgn0170443,FBgn0196342
CG10333,FBgn0032690,FBgn0172192,FBgn0195500
CG10336,FBgn0032698,FBgn0172196,FBgn0195504
CG10337,FBgn0032805,FBgn0171912,FBgn0193168
CG10338,FBgn0032700,FBgn0172197,FBgn0195505
CG10340,FBgn0022344,FBgn0170335,FBgn0191750
CG10341,FBgn0032701,FBgn0172198,FBgn0195506
CG10343,FBgn0032703,FBgn0172199,FBgn0195507
CG10344,FBgn0034729,FBgn0170557,FBgn0196440
CG10345,FBgn0027562,FBgn0170338,FBgn0191752
CG10347,FBgn0030342,FBgn0167970,FBgn0187612
CG10348,FBgn0032707,FBgn0171976,FBgn0193231
CG10352,FBgn0030348,FBgn0167966,FBgn0187608
CG10357,FBgn0035453,FBgn0169503,FBgn0185475
CG10359,FBgn0035452,FBgn0169502,FBgn0185474
CG10362,FBgn0030358,FBgn0168168,FBgn0187603
CG10366,FBgn0032814,FBgn0172284,FBgn0195578
CG10375,FBgn0039116,FBgn0181384,FBgn0192493
CG10376,FBgn0032702,FBgn0171982,FBgn0193235
CG10383,FBgn0032699,FBgn0171983,FBgn0193237
CG10384,FBgn0034731,FBgn0170830,FBgn0183412
CG10395,FBgn0033019,FBgn0166047,FBgn0182142
CG10396,FBgn0033020,FBgn0166048,FBgn0182143
CG10405,FBgn0038431,FBgn0170078,FBgn0190608
CG10407,FBgn0038395,FBgn0180594,FBgn0191785
CG10413,FBgn0032689,FBgn0171994,FBgn0193247
CG10417,FBgn0033021,FBgn0166037,FBgn0182132
CG10418,FBgn0036277,FBgn0180199,FBgn0186057
CG10420,FBgn0039296,FBgn0172648,FBgn0189757
CG10424,FBgn0036848,FBgn0169814,FBgn0184037
CG10425,FBgn0039304,FBgn0172645,FBgn0189755
CG10431,FBgn0032730,FBgn0172213,FBgn0195521
CG10433,FBgn0034638,FBgn0170624,FBgn0196498
CG10435,FBgn0037539,FBgn0165385,FBgn0190938
CG10440,FBgn0034636,FBgn0170627,FBgn0196499
CG10444,FBgn0034494,FBgn0082779,FBgn0082758
CG10445,FBgn0037531,FBgn0165393,FBgn0190948
CG10459,FBgn0033440,FBgn0176027,FBgn0182444
CG10462,FBgn0032815,FBgn0171906,FBgn0193162
CG10463,FBgn0032819,FBgn0172287,FBgn0195581
CG10465,FBgn0033017,FBgn0166040,FBgn0182135
CG10466,FBgn0032822,FBgn0172288,FBgn0195582
CG10467,FBgn0035679,FBgn0168802,FBgn0184877
CG10469,FBgn0035678,FBgn0168803,FBgn0184878
CG10470,FBgn0032746,FBgn0172228,FBgn0195531
CG10472,FBgn0035670,FBgn0168805,FBgn0184880
CG10477,FBgn0035661,FBgn0168808,FBgn0184881
CG10479,FBgn0035656,FBgn0168812,FBgn0184885
CG10481,FBgn0032827,FBgn0171895,FBgn0193152
CG10483,FBgn0035649,FBgn0168816,FBgn0184889
CG10486,FBgn0035647,FBgn0168817,FBgn0184890
CG10494,FBgn0034634,FBgn0170633,FBgn0196507
CG10495,FBgn0032750,FBgn0172231,FBgn0195535
CG10496,FBgn0034631,FBgn0170634,FBgn0196508
CG10505,FBgn0034612,FBgn0170650,FBgn0196523
CG10508,FBgn0037060,FBgn0177218,FBgn0186613
CG10510,FBgn0037059,FBgn0177030,FBgn0183872
CG10512,FBgn0037057,FBgn0177217,FBgn0189198
CG10513,FBgn0039311,FBgn0172643,FBgn0189752
CG10514,FBgn0039312,FBgn0172642,FBgn0189751
CG10516,FBgn0036549,FBgn0180423,FBgn0186261
CG10527,FBgn0034583,FBgn0170668,FBgn0196539
CG10543,FBgn0034570,FBgn0170709,FBgn0183295
CG10550,FBgn0039321,FBgn0172636,FBgn0189746
CG10553,FBgn0039324,FBgn0172632,FBgn0189742
CG10555,FBgn0030034,FBgn0176420,FBgn0191580
CG10560,FBgn0039325,FBgn0172631,FBgn0189741
CG10561,FBgn0002036,FBgn0172237,FBgn0025651
CG10565,FBgn0037051,FBgn0177037,FBgn0183880
CG10566,FBgn0037050,FBgn0177212,FBgn0186607
CG10570,FBgn0040992,FBgn0171974,FBgn0193228
CG10576,FBgn0035630,FBgn0168832,FBgn0184900
CG10581,FBgn0037046,FBgn0177039,FBgn0183882
CG10584,FBgn0037045,FBgn0177040,FBgn0183883
CG10585,FBgn0037044,FBgn0177206,FBgn0186598
CG10589,FBgn0037035,FBgn0177202,FBgn0186593
CG10590,FBgn0035622,FBgn0168837,FBgn0184905
CG10591,FBgn0035621,FBgn0168838,FBgn0184906
CG10592,FBgn0035619,FBgn0168839,FBgn0184907
CG10598,FBgn0003057,FBgn0168262,FBgn0187353
CG10600,FBgn0032717,FBgn0171971,FBgn0193226
CG10602,FBgn0032721,FBgn0171968,FBgn0193223
CG10616,FBgn0036286,FBgn0180204,FBgn0186062
CG10621,FBgn0032726,FBgn0171962,FBgn0193217
CG10623,FBgn0032727,FBgn0171961,FBgn0193216
CG10625,FBgn0035612,FBgn0168845,FBgn0184913
CG10628,FBgn0032818,FBgn0171902,FBgn0193158
CG10635,FBgn0035603,FBgn0168851,FBgn0184922
CG10638,FBgn0036290,FBgn0179513,FBgn0184441
CG10639,FBgn0032729,FBgn0171959,FBgn0193214
CG10641,FBgn0032731,FBgn0171958,FBgn0193213
CG10646,FBgn0036292,FBgn0179512,FBgn0189127
CG10650,FBgn0046302,FBgn0171955,FBgn0193211
CG10651,FBgn0032853,FBgn0178203,FBgn0183699
CG10654,FBgn0036294,FBgn0179511,FBgn0184439
CG10657,FBgn0036289,FBgn0179514,FBgn0184442
CG10660,FBgn0036288,FBgn0179515,FBgn0184443
CG10669,FBgn0039329,FBgn0172626,FBgn0189738
CG10671,FBgn0035586,FBgn0168859,FBgn0189149
CG10673,FBgn0035590,FBgn0168861,FBgn0184933
CG10674,FBgn0035592,FBgn0168862,FBgn0184934
